product-img-link href,cleanDesc,part-info,part-info 2,price,wishlist-label href,short-description
https://www.turnermotorsport.com/p-579720-foaming-sprayer-griots-garage/,Foaming Sprayer - Griot's Garage,579720,51140,$39.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,Easily lay down a sea of cleaning foam and rinse your vehicle for a safe and thorough wash in a lot less time and with a lot less
https://www.turnermotorsport.com/p-580297-boss-perfecting-foam-pads-65-inch-2-pack-griots-garage/,"BOSS Perfecting Foam Pads - 6.5 inch - 2 pack - Griot's Garage
    ...",580297,B130F6,$27.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"Medium firmness, multi-purpose foam pads designed to remove light blemishes and hazing"
https://www.turnermotorsport.com/p-579901-extra-large-pfm-edgeless-drying-towel-griots-garage/,Extra-Large PFM Edgeless Drying Towel - Griot's Garage,579901,55596,$44.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"Need superior drying power? Unleash 1,044 square inches of thirsty ultra-premium microfiber."
https://www.turnermotorsport.com/p-11883-griots-garage-3-red-waxing-pads-set-of-3/,"Griot's Garage 3"" Red Waxing Pads Set of 3",11883,11263,$13.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"This pad is made for the precise, even application of waxes and sealants, ensuring easy product removal and vibrant, uniform color."
https://www.turnermotorsport.com/p-2438621-pfm-terry-weave-towel-set-of-2/,PFM Terry Weave Towel - Set of 2,2438621,55586,$19.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,Join the 'Pure Freakin' Magic' revolution! Become a detailing superhero with the most absorbent towel you'll ever use.
https://www.turnermotorsport.com/p-2498298-microfiber-plush-edgeless-towels-set-of-6/,"Microfiber Plush Edgeless Towels, Set of 6",2498298,14901,$29.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"The long, plush nap and edgeless design of these towels ensure nothing but supple microfiber touches your paint."
https://www.turnermotorsport.com/p-2438628-the-boss-led-swirl-finder-light/,The BOSS LED Swirl-Finder Light,2438628,B8000,$69.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,This versatile LED light is a superior paint evaluation tool and a great all-around work light.
https://www.turnermotorsport.com/p-2119669-brilliant-finish-foam-cannon/,Brilliant Finish Foam Cannon,2119669,51185,$59.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"Create rich, clinging foam for efficient removal of shine-stealing abrasives and grime, while effortlessly creating lasting gloss and protection via your pressure washer."
https://www.turnermotorsport.com/p-579964-the-original-california-car-duster-wax-treated-cotton-fiber-with-case/,The Original California Car Duster - Wax Treated Cotton Fiber with C...,579964,62442,$19.95,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,The original and still the best! Wax treated cotton fiber duster. Includes storage case.
https://www.turnermotorsport.com/p-11879-griots-garage-micro-fiber-wipe-down-towel/,Griot's Garage Micro Fiber Wipe Down Towel,11879,11239,$7.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,This quality woven microfiber towel does your dirty work so your premium microfiber towels don't have to.
https://www.turnermotorsport.com/p-2438638-red-foam-waxing-pads-65-2-pack/,"Red Foam Waxing Pads - 6.5"" - 2 Pack",2438638,10624,$26.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"This pad is made for the precise, even application of waxes and sealants, ensuring easy product removal and vibrant, uniform color."
https://www.turnermotorsport.com/p-2498320-3-finger-foam-detail-mitts-set-of-2/,3-Finger Foam Detail Mitts - Set of 2,2498320,11838,$6.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"Clean your wheels, even normally inaccessible areas, quicker and easier while protecting your knuckles."
https://www.turnermotorsport.com/p-2438604-microfiber-wash-scrub-mitt/,Microfiber Wash & Scrub Mitt,2438604,10281,$9.49,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"Get two cleaning methods in a single mitt. It has a scrubbing side and wash side, both with the safety and security of microfiber."
https://www.turnermotorsport.com/p-2438630-lint-free-towels-150-ct/,Lint-Free Towels - 150 Ct,2438630,14910,$25.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"These towels are made of polypropylene, not paper, leaving behind no lint or glue residue. Their durable surface grabs dirt and grease"
https://www.turnermotorsport.com/p-578795-dual-weave-interior-towels-set-of-3-griots-garage/,Dual Weave Interior Towels - 3 Pack,578795,10282,$13.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,Enjoy superior cleaning and surface buffing with these versatile microfiber towels
https://www.turnermotorsport.com/p-2135097-g9-random-orbital-polisher/,G9 Random Orbital Polisher,2135097,10901,$159.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,At every turn the feature-rich G9 has the precise attention to detail... the nuance that makes great tools great.
https://www.turnermotorsport.com/p-578872-microfiber-car-duster-griots-garage/,Microfiber Car Duster - Griot's Garage,578872,11416,$19.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"Pamper your garage queen with this ultra-soft, Griot's Garage Microfiber Car Duster."
https://www.turnermotorsport.com/p-11874-griots-garage-blue-detail-sponges-set-of-2/,Griot's Garage Blue Detail Sponges - Set of 2,11874,11205,$6.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"One of our most popular applicators, these sponges are sliced in the middle, making them easy to grip and maneuver."
https://www.turnermotorsport.com/p-2498299-microfiber-terry-weave-drying-towel/,Microfiber Terry Weave Drying Towel,2498299,55517,$26.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"Woven for success, this towel's unique soft terry loop weave delivers intense water absorption and safe drying."
https://www.turnermotorsport.com/p-2498324-orange-correcting-foam-pads-55-2-pack/,"Orange Correcting Foam Pads - 5.5"" - 2 Pack",2498324,10516,$19.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,These pads are the proper density for use with all of our polishes. They excel at removing light to moderate defects.
https://www.turnermotorsport.com/p-2438634-microfiber-cleaning-pads-set-of-3/,Microfiber Cleaning Pads - Set of 3,2438634,11242,$8.99,https://www.turnermotorsport.com/c-275-bmw-detailing-gear#,"We've taken our soft, absorbent microfiber cloth and used a polypropylene fiber to give it more cleaning power."
