web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
1632063334-1680,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,"IQAir GC™ MultiGas Series Replacement Filters, Gas Cartridges, Pack Of 4 Cartrid...5.0 out of 5 stars. 1 review"
1632063539-1835,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Pleated Air Filters With Antimicrobial Protection, Merv 8 Pro, 24""H...0.0 out of 5 stars."
1632063539-2297,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont ProClear Ultra 9200 Air Filters, 22""H x 17""W x 1""D, Pack Of 4 Air Filters0.0 out of 5 stars."
1632063334-1617,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,Hamilton Beach Air Purifier - HEPA - 160 Sq. ft. - Black4.7 out of 5 stars. 6 reviews
1632063539-1940,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, Merv 11 Pro, 20""H x 20""W x 2""D, Set Of 12 Filters0.0 out of 5 stars."
1632063236-1303,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Heaters (112),https://www.officedepot.com/a/browse/heaters/N=5+1176148/,Brentwood H-F301BK Convection Heater - 750 W to 1500 W - 2 x Heat Settings - 150...
1632063539-2124,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Arm & Hammer Maximum Allergen & Odor Reduction Air Filters, 24""H x 16""W ...0.0 out of 5 stars."
1632063290-1529,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"IRIS Woozoo M15U Compact Oscillating Fan, 11-15/16""H x 8""W x 8-11/16""D, Black0.0 out of 5 stars."
1632063539-1710,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Fellowes® AeraMax® Pro True HEPA 2"" Filter, For Fellowes® AeraMax® Pro Air Purif...0.0 out of 5 stars."
1632063539-1712,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Amana Energy Star Window-Mounted Air Conditioner With Remote, 10,000 Btu, 14 3/4...0.0 out of 5 stars."
1632063539-2313,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"20x24x2 Tri-Dim PRO Merv 7 Pleated Air Filters, Pack Of 12 Filters0.0 out of 5 stars."
1632063539-2031,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim Pro HVAC Air Filters, Merv 9, 15"" W x 20""H x 1""D, Pack Of 120.0 out of 5 stars."
1632063290-1371,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Comfort Zone CZ6C 6-inch Clip-On Desk Fan, White3.5 out of 5 stars. 2 reviews"
1632063539-2022,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, High-Capacity Merv 8 Pro, 20""H x 16""W x 2""D, Set Of 12...0.0 out of 5 stars."
1632063539-2243,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"LG 23000 BTU Window Air Conditioner, Cooling & Heating - Cooler, Heater - 67...3.9 out of 5 stars. 50 reviews"
1632063539-2515,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont High Allergen Care™ Electrostatic Air Filters, 23-1/2""H x 22""W x 1""D, Pac...0.0 out of 5 stars."
1632063539-1756,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"16x25x2 Tri-Dim PRO Pleated Merv 7 Air Filters, Pack Of 12 Filters0.0 out of 5 stars."
1632063290-1370,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Honeywell® HT-900 3-Speed Turbo Table Air Circulator Fan, 6"" x 11"" x 11"", Black4.5 out of 5 stars. 28 reviews"
1632063334-1649,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,"Fellowes® AeraMax® PureView Pro AM3 PC Air Purifier, Wall Mount, 300-550 Sq. Ft....0.0 out of 5 stars."
1632063236-1271,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Heaters (112),https://www.officedepot.com/a/browse/heaters/N=5+1176148/,"Lasko® 5775 1500 Watts Electric Ceramic Oscillating Tower Heater, 2 Heat Setting...4.6 out of 5 stars. 5 reviews"
1632063539-2080,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont High Allergen Care™ Electrostatic Air Filters, 19""H x 16""W x 1""D, Pack Of...0.0 out of 5 stars."
1632063334-1589,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,"Crane® Adorable HEPA Portable Air Purifier, 250 Sq. Ft. Coverage, 9""H x 9""W x 16..."
1632063539-1844,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Arm & Hammer Enhanced Pet Fresh Air Filters, 20""H x 10""W x 1""D, Pack Of 4 Fi...0.0 out of 5 stars."
1632063539-2165,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont Ultimate Air Filters, 20"" x 10"" x 1"", Pack Of 4 Filters0.0 out of 5 stars."
1632063334-1561,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,"Holmes® HEPA-Type Tower Medium Room Air Purifier, 188 Sq. Ft. Coverage, 27""H x 7...5.0 out of 5 stars. 6 reviews"
1632063290-1434,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Impress 2-In-1 Clip/Desk Fan, 6""H x 12""W x 6""D, White"
1632063236-1302,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Heaters (112),https://www.officedepot.com/a/browse/heaters/N=5+1176148/,"Hanover 12020 Watts Propane Patio Heater, 88.23""H x 17.83""W, Bronze & Stainl..."
1632063334-1646,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,"Honeywell Febreze® HEPA Tower Air Purifier, 170 Sq. Ft. Coverage, 25""H x 10 1/4""...5.0 out of 5 stars. 1 review"
1632063539-1861,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,Frigidaire Slider / Casement Air Conditioner - Cooler - 2344.57 W Cooling Capaci...4.6 out of 5 stars. 110 reviews
1632063236-1359,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Heaters (112),https://www.officedepot.com/a/browse/heaters/N=5+1176148/,Optimus H-5511 Radiative Heater - Infrared
1632063539-1894,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont ProClear Ultra 9200 Air Filters, 21-1/2""H x 19-7/8""W x 1""D, Pack Of 4 Air...0.0 out of 5 stars."
1632063539-1731,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,Fellowes® CF-300 Carbon Filter5.0 out of 5 stars. 2 reviews
1632063539-2014,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Accumulair Diamond Air Filters, 10"" x 24"" x 1"", Set Of 4 Filters0.0 out of 5 stars."
1632063539-2070,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont High Allergen Care™ Electrostatic Air Filters, 36""H x 12""W x 1""D, Pack Of...0.0 out of 5 stars."
1632063539-1845,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim Pro HVAC Air Filters, Merv 8, 10""W x 20""H x 1""D, Pack Of 120.0 out of 5 stars."
1632063539-2198,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, Merv 11 Pro, 24""H x 16""W x 4""D, Set Of 6 Filters0.0 out of 5 stars."
1632063539-2000,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, Merv 11 Pro, 20""H x 16""W x 4""D, Set Of 6 Filters0.0 out of 5 stars."
1632063200-1201,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Humidifiers (63),https://www.officedepot.com/a/browse/humidifiers/N=5+1176149/,"HealthSmart® Kids' Personal Steam Inhaler Vaporizer, Margo Moo Cow, 7""H x 7 1/2""...0.0 out of 5 stars."
1632063539-1994,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont Ultimate Air Filters, 10"" x 10"" x 1"", Pack Of 4 Filters0.0 out of 5 stars."
1632063539-1977,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont High Allergen Care™ Electrostatic Air Filters, 25""H x 20""W x 1""D, Pack Of...5.0 out of 5 stars. 2 reviews"
1632063539-2344,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Builder's Best 4"" x 8ft UL Transition-Duct Single-Elbow Kit - For Dryer, Bathroo...0.0 out of 5 stars."
1632063334-1621,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,Tripp Lite Chilled Water In-Row Cooling Unit Air Conditioner 204K BTU 60kWH 208-...0.0 out of 5 stars.
1632063539-1713,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"LG Window Air Conditioner With Remote Control, 11 1/8""H x 17 3/8""W x 14 3/8""D, W...4.6 out of 5 stars. 540 reviews"
1632063539-2345,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont High Allergen Care™ Electrostatic Air Filters, 22""H x 18""W x 1""D, Pack Of...0.0 out of 5 stars."
1632063290-1510,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Honeywell HT-906 Turbo Force Oscillating Table Fan - 3 Speed - Oscillating, Pivo...4.9 out of 5 stars. 8 reviews"
1632063539-1959,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim Pro HVAC Pleated Air Filters, Merv 7, 16"" x 30"" x 1"", Case Of 120.0 out of 5 stars."
1632063334-1559,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,"Tripp Lite SmartRack Portable Air Conditioner, 32.6""H x 12.6""W x 19.8""D, Black4.6 out of 5 stars. 90 reviews"
1632063539-2160,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont Ultimate Air Filters, 23-3/4"" x 23-3/4"" x 1"", Pack Of 4 Filters0.0 out of 5 stars."
1632063539-2057,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont Ultimate Air Filters, 13-1/2"" x 17-1/2"" x 1"", Pack Of 4 Filters0.0 out of 5 stars."
1632063290-1465,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Hunter Fan 52"" Builder Deluxe - 5 Blades - 52"" Diameter - Quiet, Dust/Dirt-free ..."
1632063539-2398,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont Ultimate Air Filters, 28"" x 30"" x 1"", Pack Of 4 Filters0.0 out of 5 stars."
1632063539-2082,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, High-Capacity Merv 7 Pro, 24""H x 14""W x 1""D, Set Of 24...0.0 out of 5 stars."
1632063334-1682,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,APC by Schneider Electric ACF202BLK Rack Side Air Distribution System - 260 CFM ...0.0 out of 5 stars.
1632063539-2290,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, Merv 11 Pro, 20""H x 20""W x 4""D, Set Of 6  Filters0.0 out of 5 stars."
1632063236-1360,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Heaters (112),https://www.officedepot.com/a/browse/heaters/N=5+1176148/,Vornado Advanced Whole Room Heater with Auto Climate
1632063200-1237,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Humidifiers (63),https://www.officedepot.com/a/browse/humidifiers/N=5+1176149/,APC by Schneider Electric Humidifier
1632063290-1556,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Lasko® 16″ Oscillating Stand Fan, White4.5 out of 5 stars. 2 reviews"
1632063290-1462,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Hunter® Builder Plus 52"" 3-Speed Ceiling Fan with Lights, Brushed Nickel/Brazili..."
1632063539-1743,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, Merv 7, 20""H x 20""W x 4""D, Set Of 6 Filters0.0 out of 5 stars."
1632063539-2349,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"LG 230V Through-The-Wall Air Conditioner With Heat, 10,000 BTU, 14 7/16""H x 24""W...4.2 out of 5 stars. 5 reviews"
1632063334-1597,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,Vicks V1200-6 Vaporizer - Steam Vaporizer - 31.99 fl oz Tank - 0 Sq. inch.
1632063290-1543,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Impress Mini Go Rechargeable 3-Speed Portable Folding Fan, 1-3/4""H x 4-1/4""W x 5...0.0 out of 5 stars."
1632063539-2194,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"20x24x2 Tri-Dim PRO Merv 8 Pleated Air Filters, Pack Of 12 Filters0.0 out of 5 stars."
1632063539-2213,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, High-Capacity Merv 8 Pro, 20""H x 18""W x 2""D, Set Of 12...0.0 out of 5 stars."
1632063200-1221,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Humidifiers (63),https://www.officedepot.com/a/browse/humidifiers/N=5+1176149/,"Pure Enrichment DryStone Reusable Moisture-Absorbing Stones, Set Of 6 Stones"
1632063539-2047,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Accumulair Diamond Air Filters, 16"" x 22"" x 1"", Set Of 4 Filters0.0 out of 5 stars."
1632063539-1722,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Amana Energy Star Window-Mounted Air Conditioner With Remote, 15,000 Btu, 17 15/...0.0 out of 5 stars."
1632063200-1253,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Humidifiers (63),https://www.officedepot.com/a/browse/humidifiers/N=5+1176149/,"Crane Droplet Ultrasonic Cool Mist Humidifier, 0.5 Gallons, 6 3/4"" x 6 3/4"" x 10...4.9 out of 5 stars. 31 reviews"
1632063539-1889,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont Ultimate Air Filters, 24"" x 14"" x 1"", Pack Of 4 Filters0.0 out of 5 stars."
1632063539-2240,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, Merv 13 Pro, 25""H x 20""W x 2""D, Set Of 12 Filters0.0 out of 5 stars."
1632063539-1793,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim Pro HVAC Pleated Air Filters, Merv 9, 20"" x 30"" x 1"", Case Of 120.0 out of 5 stars."
1632063290-1393,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Optimus Industrial Grade 18"" 3-Speed High Velocity Floor Fan, Silver"
1632063539-2262,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, Merv 7, 25""H x 16""W x 4""D, Set Of 6 Filters0.0 out of 5 stars."
1632063334-1644,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,Sharp True HEPA Air Purifier for Small Rooms with Express Clean (FPF30UH) - True...0.0 out of 5 stars.
1632063539-2351,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Accumulair Diamond Air Filters, 27-1/2"" x 29-1/2"" x 1"", Set Of 4 Filters0.0 out of 5 stars."
1632063539-2090,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,APC InRow RC/SC Air Filter0.0 out of 5 stars.
1632063334-1684,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,"Airfree P Series Air Purifier, 450 Sq. Ft. Coverage, 10-7/16”H x 8-7/16”W, White0.0 out of 5 stars."
1632063539-1752,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,LG LW1216ER Window Air Conditioner - Cooler - 3516.85 W Cooling Capacity - 550 S...4.5 out of 5 stars. 303 reviews
1632063539-2126,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont High Allergen Care™ Electrostatic Air Filters, 15""H x 15""W x 1""D, Pack Of...0.0 out of 5 stars."
1632063539-1729,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim Pro HVAC Pleated Air Filters, Merv 9, 14"" x 20"" x 1"", Case Of 120.0 out of 5 stars."
1632063290-1439,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Lorell® 3-Speed Box Fan, White"
1632063290-1443,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,Honeywell Honeywell HT-904 Desk Fan - 228.6 mm Diameter - 3 Speed - Removable Gr...
1632063334-1629,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Purifiers & Filters (140),https://www.officedepot.com/a/browse/air-purifiers-and-filters/N=5+1176146/,"Honeywell HRF-F1 True HEPA Replacement Filter, White0.0 out of 5 stars."
1632063539-2425,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Arm & Hammer Enhanced Pet Fresh Air Filters, 20""H x 15""W x 1""D, Pack Of 4 Fi...0.0 out of 5 stars."
1632063539-2059,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Arm & Hammer Maximum Allergen & Odor Reduction Air Filters, 14""H x 14""W ...0.0 out of 5 stars."
1632063539-2454,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Air Filters, High-Capacity Merv 7 Pro, 25""H x 16""W x 1""D, Set Of 24...0.0 out of 5 stars."
1632063539-1989,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Arm & Hammer Enhanced Pet Fresh Air Filters, 25""H x 16""W x 1""D, Pack Of 4 Fi...0.0 out of 5 stars."
1632063200-1242,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Humidifiers (63),https://www.officedepot.com/a/browse/humidifiers/N=5+1176149/,"HoMedics UHE-OC1 Ultrasonic Cool Mist Humidifier, 19"" x 11"" x 10""3.8 out of 5 stars. 41 reviews"
1632063539-2093,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"Tri-Dim HVAC Pleated Air Filters With Antimicrobial Protection, Merv 8 Pro, 25""H...0.0 out of 5 stars."
1632063236-1283,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Heaters (112),https://www.officedepot.com/a/browse/heaters/N=5+1176148/,Lasko 755320 Ceramic Tower Heater - Ceramic - Electric
1632063539-2399,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont Ultimate Air Filters, 22"" x 16"" x 1"", Pack Of 4 Filters0.0 out of 5 stars."
1632063539-1801,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,Evapolar evaLIGHT Plus Personal Air Cooler (White) - Cooler - 33 Sq. ft. Coverag...4.7 out of 5 stars. 82 reviews
1632063539-1817,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Air Conditioners & Accessories (835),https://www.officedepot.com/a/browse/air-conditioners-and-accessories/N=5+1176145/,"DuPont Ultimate Air Filters, 11-1/2"" x 11-1/2"" x 1"", Pack Of 4 Filters0.0 out of 5 stars."
1632063290-1517,https://www.officedepot.com/a/browse/heating-and-cooling/N=5+1176144/,Fans (190),https://www.officedepot.com/a/browse/fans/N=5+1176147/,"Impress 3-Speed Box Fan, 20"" x 4"", White0.0 out of 5 stars."
